n01503061,2126,bird,B,confirmed
n02279257,2093,"peacock, peacock butterfly, Inachis io",N,updated (from b to n)
n01605630,1826,hawk,B,confirmed
n01610955,1758,falcon,B,confirmed
n02058221,1690,"albatross, mollymawk",B,confirmed
n02054711,1683,"water turkey, Anhinga anhinga",B,confirmed
n01859190,1672,"mute swan, Cygnus olor",B,confirmed
n01532325,1647,"New World goldfinch, goldfinch, yellowbird, Spinus tristis",B,confirmed
n02052204,1646,"white pelican, Pelecanus erythrorhynchos",B,confirmed
n01846331,1642,duck,B,confirmed
n01855672,1629,goose,B,confirmed
n01814217,1621,"mourning dove, Zenaidura macroura",B,confirmed
n02007284,1612,"roseate spoonbill, Ajaia ajaja",B,confirmed
n01598588,1600,shrike,B,confirmed
n01541922,1598,towhee,B,confirmed
n02487347,1591,macaque,N,updated (from b to n)
n02054502,1572,"snakebird, anhinga, darter",B,confirmed
n01595450,1571,"white-bellied swallow, tree swallow, Iridoprocne bicolor",B,confirmed
n01584225,1565,"wren, jenny wren",B,confirmed
n01592387,1560,"tufted titmouse, Parus bicolor",B,confirmed
n02034129,1558,godwit,B,confirmed
n02060133,1554,"fulmar, fulmar petrel, Fulmarus glacialis",B,confirmed
n02008497,1548,"great blue heron, Ardea herodius",B,confirmed
n01537134,1544,bunting,B,confirmed
n01591697,1543,"titmouse, tit",B,confirmed
n01527347,1536,"hedge sparrow, sparrow, dunnock, Prunella modularis",B,confirmed
n01818515,1530,macaw,B,confirmed
n01539573,1523,"sparrow, true sparrow",B,confirmed
n01612122,1523,"sparrow hawk, American kestrel, kestrel, Falco sparverius",B,confirmed
n01820546,1522,lorikeet,B,confirmed
n02027357,1514,"least sandpiper, stint, Erolia minutilla",B,confirmed
n01558307,1507,"fieldfare, snowbird, Turdus pilaris",B,confirmed
n01595168,1507,"tree swallow, tree martin, Hirundo nigricans",B,confirmed
n01806143,1501,peacock,B,confirmed
n02036053,1501,"stilt, Australian stilt",B,confirmed
n01530575,1488,"brambling, Fringilla montifringilla",B,confirmed
n01532829,1487,"house finch, linnet, Carpodacus mexicanus",B,confirmed
n01613294,1481,"eagle, bird of Jove",B,confirmed
n01812337,1481,dove,B,confirmed
n01540832,1479,"hawfinch, Coccothraustes coccothraustes",B,confirmed
n02041875,1478,"black-backed gull, great black-backed gull, cob, Larus marinus",B,confirmed
n02034971,1473,"black-necked stilt, Himantopus mexicanus",B,confirmed
n01564773,1473,"blackcap, Silvia atricapilla",B,confirmed
n01856072,1472,gosling,B,confirmed
n01565078,1470,"lesser whitethroat, whitethroat, Sylvia curruca",B,confirmed
n01803078,1469,pheasant,B,confirmed
n01529672,1469,finch,B,confirmed
n02027492,1457,"red-backed sandpiper, dunlin, Erolia alpina",B,confirmed
n01828556,1457,"kookaburra, laughing jackass, Dacelo gigas",B,confirmed
n01534433,1456,"junco, snowbird",B,confirmed
n01575401,1456,"red-winged blackbird, redwing, Agelaius phoeniceus",B,confirmed
n01594004,1453,"fairy bluebird, bluebird",B,confirmed
n02037110,1453,"oystercatcher, oyster catcher",B,confirmed
n01549886,1453,"phoebe, phoebe bird, Sayornis phoebe",B,confirmed
n01539925,1444,"English sparrow, house sparrow, Passer domesticus",B,confirmed
n01536644,1443,"song sparrow, Melospiza melodia",B,confirmed
n01579260,1435,"raven, Corvus corax",B,confirmed
n01859496,1432,"tundra swan, Cygnus columbianus",B,confirmed
n01615458,1425,"ern, erne, grey sea eagle, gray sea eagle, European sea eagle, white-tailed sea eagle, Haliatus albicilla",B,confirmed
n01806364,1425,"blue peafowl, Pavo cristatus",B,confirmed
n02009912,1424,"American egret, great white heron, Egretta albus",B,confirmed
n02022684,1420,"shorebird, shore bird, limicoline bird",B,confirmed
n01594372,1420,swallow,B,confirmed
n02012185,1420,"least bittern, Ixobrychus exilis",B,confirmed
n02008041,1419,heron,B,confirmed
n01616318,1418,vulture,B,confirmed
n02028035,1416,"redshank, Tringa totanus",B,confirmed
n02047614,1414,puffin,B,confirmed
n01615121,1414,sea eagle,B,confirmed
n01852671,1413,"muscovy duck, musk duck, Cairina moschata",B,confirmed
n02041246,1413,"gull, seagull, sea gull",B,confirmed
n02060411,1411,shearwater,B,confirmed
n02042180,1409,"laughing gull, blackcap, pewit, pewit gull, Larus ridibundus",B,confirmed
n01592084,1408,chickadee,B,confirmed
n01821076,1407,"rainbow lorikeet, Trichoglossus moluccanus",B,confirmed
n01858906,1406,cygnet,B,confirmed
n01582220,1402,magpie,B,confirmed
n01540233,1400,"grosbeak, grossbeak",B,confirmed
n02030837,1399,"willet, Catoptrophorus semipalmatus",B,confirmed
n02021050,1396,trumpeter,B,confirmed
n01563128,1396,warbler,B,confirmed
n01838598,1394,"woodpecker, peckerwood, pecker",B,confirmed
n01518878,1393,"ostrich, Struthio camelus",B,confirmed
n02053083,1392,gannet,B,confirmed
n01850373,1390,"goldeneye, whistler, Bucephela clangula",B,confirmed
n01606522,1388,"goshawk, Accipiter gentilis",B,confirmed
n01603600,1388,waxwing,B,confirmed
n02025043,1387,turnstone,B,confirmed
n01621635,1382,owlet,B,confirmed
n01819313,1380,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",B,confirmed
n01531178,1379,"goldfinch, Carduelis carduelis",B,confirmed
n02054036,1378,"cormorant, Phalacrocorax carbo",B,confirmed
n02028900,1376,"knot, greyback, grayback, Calidris canutus",B,confirmed
n01565599,1376,"sedge warbler, sedge bird, sedge wren, reedbird, Acrocephalus schoenobaenus",B,confirmed
n02009229,1373,"little blue heron, Egretta caerulea",B,confirmed
n01839330,1371,downy woodpecker,B,confirmed
n01847806,1369,"mallard, Anas platyrhynchos",B,confirmed
n01588002,1364,"brown thrasher, brown thrush, Toxostoma rufums",B,confirmed
n01819115,1363,cockatoo,B,confirmed
n01833805,1361,hummingbird,B,confirmed
n01514668,1361,cock,B,confirmed
n01857851,1359,"barnacle goose, barnacle, Branta leucopsis",B,confirmed
n01528396,1358,wagtail,B,confirmed
n02029378,1358,"sanderling, Crocethia alba",B,confirmed
n02012849,1355,crane,B,confirmed
n01850192,1355,"bufflehead, butterball, dipper, Bucephela albeola",B,confirmed
n01828096,1354,"belted kingfisher, Ceryle alcyon",B,confirmed
n01606809,1352,"Cooper's hawk, blue darter, Accipiter cooperii",B,confirmed
n01859689,1350,"whistling swan, Cygnus columbianus columbianus",B,confirmed
n01847089,1350,quack-quack,B,confirmed
n01860187,1349,"black swan, Cygnus atratus",B,confirmed
n01857632,1349,"honker, Canada goose, Canadian goose, Branta canadensis",B,confirmed
n01611969,1348,"kestrel, Falco tinnunculus",B,confirmed
n01519563,1347,cassowary,B,confirmed
n01533893,1347,"crossbill, Loxia curvirostra",B,confirmed
n01855476,1346,"hooded merganser, hooded sheldrake, Lophodytes cucullatus",B,confirmed
n01570676,1345,yellowthroat,B,confirmed
n01827793,1343,"Eurasian kingfisher, Alcedo atthis",B,confirmed
n01611472,1341,"peregrine, peregrine falcon, Falco peregrinus",B,confirmed
n01591301,1341,"white-breasted nuthatch, Sitta carolinensis",B,confirmed
n02011805,1339,"American bittern, stake driver, Botaurus lentiginosus",B,confirmed
n01850553,1339,"Barrow's goldeneye, Bucephala islandica",B,confirmed
n01540090,1338,"tree sparrow, Passer montanus",B,confirmed
n02009750,1338,"great white heron, Casmerodius albus",B,confirmed
n01572489,1337,"Baltimore oriole, Baltimore bird, hangbird, firebird, Icterus galbula galbula",B,confirmed
n02009508,1336,"little egret, Egretta garzetta",B,confirmed
n01803362,1336,"ring-necked pheasant, Phasianus colchicus",B,confirmed
n02006063,1330,"wood ibis, wood stork, Ibis ibis",B,confirmed
n01848976,1330,"shoveler, shoveller, broadbill, Anas clypeata",B,confirmed
n01558993,1329,"robin, American robin, Turdus migratorius",B,confirmed
n01592257,1328,"black-capped chickadee, blackcap, Parus atricapillus",B,confirmed
n02003204,1328,"marabou, marabout, marabou stork, Leptoptilus crumeniferus",B,confirmed
n01813088,1327,"wood pigeon, ringdove, cushat, Columba palumbus",B,confirmed
n01625562,1327,"barn owl, Tyto alba",B,confirmed
n01806297,1327,peahen,B,confirmed
n01575117,1325,cowbird,B,confirmed
n02030035,1324,"ruff, Philomachus pugnax",B,confirmed
