n01503061,2126,bird,-
n02056570,2022,"king penguin, Aptenodytes patagonica",-
n02056228,1844,"Adelie, Adelie penguin, Pygoscelis adeliae",-
n01605630,1826,hawk,B
n01610955,1758,falcon,B
n02056728,1703,"emperor penguin, Aptenodytes forsteri",-
n02058221,1690,"albatross, mollymawk",B
n02054711,1683,"water turkey, Anhinga anhinga",-
n01859190,1672,"mute swan, Cygnus olor",-
n01532325,1647,"New World goldfinch, goldfinch, yellowbird, Spinus tristis",-
n02052204,1646,"white pelican, Pelecanus erythrorhynchos",-
n01846331,1642,duck,B
n01855672,1629,goose,B
n01814217,1621,"mourning dove, Zenaidura macroura",-
n02007284,1612,"roseate spoonbill, Ajaia ajaja",-
n01598588,1600,shrike,B
n01541922,1598,towhee,-
n02054502,1572,"snakebird, anhinga, darter",-
n01595450,1571,"white-bellied swallow, tree swallow, Iridoprocne bicolor",-
n01584225,1565,"wren, jenny wren",B
n01592387,1560,"tufted titmouse, Parus bicolor",B
n02034129,1558,godwit,-
n02060133,1554,"fulmar, fulmar petrel, Fulmarus glacialis",-
n02008497,1548,"great blue heron, Ardea herodius",-
n01537134,1544,bunting,B
n01591697,1543,"titmouse, tit",-
n01527347,1536,"hedge sparrow, sparrow, dunnock, Prunella modularis",-
n01792158,1533,"cock, rooster",-
n01818515,1530,macaw,B
n01612122,1523,"sparrow hawk, American kestrel, kestrel, Falco sparverius",-
n01539573,1523,"sparrow, true sparrow",B
n01820546,1522,lorikeet,B
n02027357,1514,"least sandpiper, stint, Erolia minutilla",-
n01595168,1507,"tree swallow, tree martin, Hirundo nigricans",-
n01558307,1507,"fieldfare, snowbird, Turdus pilaris",B
n02036053,1501,"stilt, Australian stilt",-
n01806143,1501,peacock,-
n01530575,1488,"brambling, Fringilla montifringilla",B
n01532829,1487,"house finch, linnet, Carpodacus mexicanus",-
n01812337,1481,dove,B
n01613294,1481,"eagle, bird of Jove",B
n02057035,1480,"jackass penguin, Spheniscus demersus",-
n01540832,1479,"hawfinch, Coccothraustes coccothraustes",-
n02041875,1478,"black-backed gull, great black-backed gull, cob, Larus marinus",-
n02034971,1473,"black-necked stilt, Himantopus mexicanus",-
n01564773,1473,"blackcap, Silvia atricapilla",B
n01856072,1472,gosling,-
n01565078,1470,"lesser whitethroat, whitethroat, Sylvia curruca",B
n01803078,1469,pheasant,B
n01529672,1469,finch,B
n02027492,1457,"red-backed sandpiper, dunlin, Erolia alpina",-
n01828556,1457,"kookaburra, laughing jackass, Dacelo gigas",B
n01534433,1456,"junco, snowbird",-
