n02122298,1414,"kitty, kitty-cat, puss, pussy, pussycat",C
n02122510,779,alley cat,C
n02122810,3,gib,
n02124313,1717,"Abyssinian, Abyssinian cat",C
n02123785,445,blue point Siamese,C
n02124075,977,Egyptian cat,C
n02124157,1,"Maltese, Maltese cat",
n02122878,1262,"tabby, queen",C
n02123478,1083,"Angora, Angora cat",C
n02124484,1189,"Manx, Manx cat",C
n02123394,1662,Persian cat,C
n02122725,1518,"tom, tomcat",C
n02123917,1169,Burmese cat,C
n02123597,1739,"Siamese cat, Siamese",C
n02123159,1424,tiger cat,C
n02122430,1207,mouser,C
n02121808,1831,"domestic cat, house cat, Felis domesticus, Felis catus",C
n02123045,1525,"tabby, tabby cat",C
n02123242,1442,"tortoiseshell, tortoiseshell-cat, calico cat",C
